"year","state","state_po","county_name","county_fips","office","candidate","party","candidatevotes","totalvotes","version","mode"
2016,"ALABAMA","AL","LAWRENCE",1079,"US PRESIDENT","OTHER","OTHER",369,14829,20220315,"TOTAL"
2016,"ALABAMA","AL","LEE",1081,"US PRESIDENT","HILLARY CLINTON","DEMOCRAT",21230,59191,20220315,"TOTAL"
2016,"ALABAMA","AL","LEE",1081,"US PRESIDENT","DONALD TRUMP","REPUBLICAN",34617,59191,20220315,"TOTAL"
2016,"ALABAMA","AL","LEE",1081,"US PRESIDENT","OTHER","OTHER",3344,59191,20220315,"TOTAL"
2016,"ALABAMA","AL","LIMESTONE",1083,"US PRESIDENT","HILLARY CLINTON","DEMOCRAT",9468,40294,20220315,"TOTAL"
2016,"ALABAMA","AL","LIMESTONE",1083,"US PRESIDENT","DONALD TRUMP","REPUBLICAN",29067,40294,20220315,"TOTAL"
2016,"ALABAMA","AL","LIMESTONE",1083,"US PRESIDENT","OTHER","OTHER",1759,40294,20220315,"TOTAL"
2016,"ALABAMA","AL","LOWNDES",1085,"US PRESIDENT","HILLARY CLINTON","DEMOCRAT",4883,6684,20220315,"TOTAL"
2016,"ALABAMA","AL","LOWNDES",1085,"US PRESIDENT","DONALD TRUMP","REPUBLICAN",1751,6684,20220315,"TOTAL"
2016,"ALABAMA","AL","LOWNDES",1085,"US PRESIDENT","OTHER","OTHER",50,6684,20220315,"TOTAL"
2016,"ALABAMA","AL","MACON",1087,"US PRESIDENT","HILLARY CLINTON","DEMOCRAT",7566,9140,20220315,"TOTAL"
2016,"ALABAMA","AL","MACON",1087,"US PRESIDENT","DONALD TRUMP","REPUBLICAN",1431,9140,20220315,"TOTAL"
2016,"ALABAMA","AL","MACON",1087,"US PRESIDENT","OTHER","OTHER",143,9140,20220315,"TOTAL"
2016,"ALABAMA","AL","MADISON",1089,"US PRESIDENT","HILLARY CLINTON","DEMOCRAT",62822,163389,20220315,"TOTAL"
2016,"ALABAMA","AL","MADISON",1089,"US PRESIDENT","DONALD TRUMP","REPUBLICAN",89520,163389,20220315,"TOTAL"
2016,"ALABAMA","AL","MADISON",1089,"US PRESIDENT","OTHER","OTHER",11047,163389,20220315,"TOTAL"
2016,"ALABAMA","AL","MARENGO",1091,"US PRESIDENT","HILLARY CLINTON","DEMOCRAT",5615,10994,20220315,"TOTAL"
2016,"ALABAMA","AL","MARENGO",1091,"US PRESIDENT","DONALD TRUMP","REPUBLICAN",5233,10994,20220315,"TOTAL"
2016,"ALABAMA","AL","MARENGO",1091,"US PRESIDENT","OTHER","OTHER",146,10994,20220315,"TOTAL"
2016,"ALABAMA","AL","MARION",1093,"US PRESIDENT","HILLARY CLINTON","DEMOCRAT",1432,12984,20220315,"TOTAL"
2016,"ALABAMA","AL","MARION",1093,"US PRESIDENT","DONALD TRUMP","REPUBLICAN",11274,12984,20220315,"TOTAL"
2016,"ALABAMA","AL","MARION",1093,"US PRESIDENT","OTHER","OTHER",278,12984,20220315,"TOTAL"
2016,"ALABAMA","AL","MARSHALL",1095,"US PRESIDENT","HILLARY CLINTON","DEMOCRAT",4917,35316,20220315,"TOTAL"
2016,"ALABAMA","AL","MARSHALL",1095,"US PRESIDENT","DONALD TRUMP","REPUBLICAN",29233,35316,20220315,"TOTAL"
2016,"ALABAMA","AL","MARSHALL",1095,"US PRESIDENT","OTHER","OTHER",1166,35316,20220315,"TOTAL"
2016,"ALABAMA","AL","MOBILE",1097,"US PRESIDENT","HILLARY CLINTON","DEMOCRAT",72186,172737,20220315,"TOTAL"
2016,"ALABAMA","AL","MOBILE",1097,"US PRESIDENT","DONALD TRUMP","REPUBLICAN",95116,172737,20220315,"TOTAL"
2016,"ALABAMA","AL","MOBILE",1097,"US PRESIDENT","OTHER","OTHER",5435,172737,20220315,"TOTAL"
2016,"ALABAMA","AL","MONROE",1099,"US PRESIDENT","HILLARY CLINTON","DEMOCRAT",4332,10271,20220315,"TOTAL"
2016,"ALABAMA","AL","MONROE",1099,"US PRESIDENT","DONALD TRUMP","REPUBLICAN",5795,10271,20220315,"TOTAL"
2016,"ALABAMA","AL","MONROE",1099,"US PRESIDENT","OTHER","OTHER",144,10271,20220315,"TOTAL"
